1735977854049: Stored regular priority package: Package ID: 1, Status: In Storage, Priority: Regular
1735977854689: Stored high priority package: Package ID: 17, Status: In Storage, Priority: High
1735977854690: Stored high priority package: Package ID: 18, Status: In Storage, Priority: High
1735977854690: Stored regular priority package: Package ID: 20, Status: In Storage, Priority: Regular
1735977854692: Stored high priority package: Package ID: 19, Status: In Storage, Priority: High
1735977854693: Retrieved high priority package: Package ID: 17, Status: In Storage, Priority: High
1735977854880: Stored high priority package: Package ID: 21, Status: In Storage, Priority: High
1735977854896: Stored high priority package: Package ID: 22, Status: In Storage, Priority: High
1735977854897: Stored high priority package: Package ID: 23, Status: In Storage, Priority: High
1735977854897: Stored regular priority package: Package ID: 24, Status: In Storage, Priority: Regular
1735977854897: Stored regular priority package: Package ID: 25, Status: In Storage, Priority: Regular
1735977854981: Retrieved high priority package: Package ID: 18, Status: In Storage, Priority: High
1735977854982: Retrieved high priority package: Package ID: 19, Status: In Storage, Priority: High
1735977854997: Retrieved high priority package: Package ID: 21, Status: In Storage, Priority: High
1735977854997: Retrieved high priority package: Package ID: 22, Status: In Storage, Priority: High
1735977854997: Retrieved high priority package: Package ID: 23, Status: In Storage, Priority: High
1735977855085: Stored regular priority package: Package ID: 26, Status: In Storage, Priority: Regular
1735977855104: Stored high priority package: Package ID: 27, Status: In Storage, Priority: High
1735977855105: Stored high priority package: Package ID: 28, Status: In Storage, Priority: High
1735977855106: Stored high priority package: Package ID: 30, Status: In Storage, Priority: High
1735977855107: Stored high priority package: Package ID: 29, Status: In Storage, Priority: High
1735977855298: Retrieved high priority package: Package ID: 27, Status: In Storage, Priority: High
1735977855299: Stored high priority package: Package ID: 31, Status: In Storage, Priority: High
1735977855300: Retrieved high priority package: Package ID: 28, Status: In Storage, Priority: High
1735977855302: Retrieved high priority package: Package ID: 30, Status: In Storage, Priority: High
1735977855302: Retrieved high priority package: Package ID: 29, Status: In Storage, Priority: High
1735977855302: Retrieved high priority package: Package ID: 31, Status: In Storage, Priority: High
1735977855314: Stored regular priority package: Package ID: 32, Status: In Storage, Priority: Regular
1735977855315: Stored regular priority package: Package ID: 33, Status: In Storage, Priority: Regular
1735977855316: Stored high priority package: Package ID: 34, Status: In Storage, Priority: High
1735977855317: Stored regular priority package: Package ID: 35, Status: In Storage, Priority: Regular
1735977855502: Stored high priority package: Package ID: 36, Status: In Storage, Priority: High
1735977855529: Stored high priority package: Package ID: 38, Status: In Storage, Priority: High
1735977855532: Stored regular priority package: Package ID: 37, Status: In Storage, Priority: Regular
1735977855532: Stored regular priority package: Package ID: 40, Status: In Storage, Priority: Regular
1735977855532: Stored high priority package: Package ID: 39, Status: In Storage, Priority: High
1735977855600: Retrieved high priority package: Package ID: 34, Status: In Storage, Priority: High
1735977855602: Retrieved high priority package: Package ID: 36, Status: In Storage, Priority: High
1735977855603: Retrieved high priority package: Package ID: 38, Status: In Storage, Priority: High
1735977855604: Retrieved high priority package: Package ID: 39, Status: In Storage, Priority: High
1735977855605: Retrieved regular priority package: Package ID: 15, Status: In Storage, Priority: Regular
1735977855715: Stored high priority package: Package ID: 41, Status: In Storage, Priority: High
1735977855748: Stored high priority package: Package ID: 42, Status: In Storage, Priority: High
1735977855750: Stored regular priority package: Package ID: 43, Status: In Storage, Priority: Regular
1735977855750: Stored high priority package: Package ID: 44, Status: In Storage, Priority: High
1735977855752: Stored high priority package: Package ID: 45, Status: In Storage, Priority: High
1735977855905: Retrieved high priority package: Package ID: 41, Status: In Storage, Priority: High
1735977855905: Retrieved high priority package: Package ID: 42, Status: In Storage, Priority: High
1735977855905: Retrieved high priority package: Package ID: 44, Status: In Storage, Priority: High
1735977855905: Retrieved high priority package: Package ID: 45, Status: In Storage, Priority: High
1735977855914: Retrieved regular priority package: Package ID: 14, Status: In Storage, Priority: Regular
1735977855931: Stored high priority package: Package ID: 46, Status: In Storage, Priority: High
1735977855964: Stored regular priority package: Package ID: 48, Status: In Storage, Priority: Regular
1735977855966: Stored high priority package: Package ID: 47, Status: In Storage, Priority: High
1735977855967: Stored regular priority package: Package ID: 49, Status: In Storage, Priority: Regular
1735977855968: Stored high priority package: Package ID: 50, Status: In Storage, Priority: High
1735977856147: Stored high priority package: Package ID: 51, Status: In Storage, Priority: High
1735977856168: Stored regular priority package: Package ID: 52, Status: In Storage, Priority: Regular
1735977856168: Stored regular priority package: Package ID: 53, Status: In Storage, Priority: Regular
1735977856184: Stored high priority package: Package ID: 54, Status: In Storage, Priority: High
1735977856185: Stored high priority package: Package ID: 55, Status: In Storage, Priority: High
1735977856222: Retrieved high priority package: Package ID: 46, Status: In Storage, Priority: High
1735977856222: Retrieved high priority package: Package ID: 47, Status: In Storage, Priority: High
1735977856222: Retrieved high priority package: Package ID: 50, Status: In Storage, Priority: High
1735977856222: Retrieved high priority package: Package ID: 51, Status: In Storage, Priority: High
1735977856222: Retrieved high priority package: Package ID: 54, Status: In Storage, Priority: High
1735977856364: Stored high priority package: Package ID: 56, Status: In Storage, Priority: High
1735977856380: Stored high priority package: Package ID: 57, Status: In Storage, Priority: High
1735977856382: Stored high priority package: Package ID: 58, Status: In Storage, Priority: High
1735977856394: Stored regular priority package: Package ID: 59, Status: In Storage, Priority: Regular
1735977856396: Stored high priority package: Package ID: 60, Status: In Storage, Priority: High
1735977856530: Retrieved high priority package: Package ID: 55, Status: In Storage, Priority: High
1735977856532: Retrieved high priority package: Package ID: 56, Status: In Storage, Priority: High
1735977856532: Retrieved high priority package: Package ID: 57, Status: In Storage, Priority: High
1735977856532: Retrieved high priority package: Package ID: 58, Status: In Storage, Priority: High
1735977856532: Retrieved high priority package: Package ID: 60, Status: In Storage, Priority: High
1735977856581: Stored regular priority package: Package ID: 61, Status: In Storage, Priority: Regular
1735977856597: Stored high priority package: Package ID: 62, Status: In Storage, Priority: High
1735977856597: Stored regular priority package: Package ID: 64, Status: In Storage, Priority: Regular
1735977856597: Stored regular priority package: Package ID: 63, Status: In Storage, Priority: Regular
1735977856614: Stored regular priority package: Package ID: 65, Status: In Storage, Priority: Regular
1735977856797: Stored high priority package: Package ID: 66, Status: In Storage, Priority: High
1735977856814: Stored regular priority package: Package ID: 67, Status: In Storage, Priority: Regular
1735977856816: Stored high priority package: Package ID: 68, Status: In Storage, Priority: High
